sgg_cd,apt_seq,exclu_use_ar,area_status,kapt_code,kapt_area,households,group_id,group_label,group_areas,apt_nm
11470,11470-4123,62.48,K-apt 면적정보 없음,,,,62.48,62,62.48,주함헤븐105동
11470,11470-4124,62.48,K-apt 면적정보 없음,,,,62.48,62,62.48,주남헤븐107동
11470,11470-4125,69.17,K-apt 면적정보 없음,,,,69.17,69,69.17,동도센트리움
11470,11470-4125,84.92,K-apt 면적정보 없음,,,,84.92,85,84.92,동도센트리움
11470,11470-4129,95.41,K-apt 면적정보 없음,,,,95.41,95,95.41,지오프레저101동
11470,11470-4145,84.15,K-apt 면적정보 없음,,,,84.15,84,84.15,엘림(986-13)
11470,11470-4151,66.14,K-apt 면적정보 없음,,,,66.14,66,66.14,신성미소지움3차아파트
11470,11470-4151,84.8,K-apt 면적정보 없음,,,,84.8,85,84.8,신성미소지움3차아파트
11470,11470-4164,64.4,K-apt 면적정보 없음,,,,64.4,64,64.4,목동노블레스
11470,11470-4164,81.26,K-apt 면적정보 없음,,,,81.26,81,81.26,목동노블레스
11470,11470-4186,59.71,K-apt 면적정보 없음,,,,59.71,60,59.71,장수마을2단지동원데쟈뷰
11470,11470-4186,84.01,K-apt 면적정보 없음,,,,84.01,84,84.01,장수마을2단지동원데쟈뷰
11470,11470-42,79.4989,K-apt 면적정보 없음,,,,79.4989,79,79.4989,월드메르디앙
11470,11470-42,84.1969,K-apt 면적정보 없음,,,,84.1969,84,84.1969,월드메르디앙
11470,11470-4206,84.99,K-apt 면적정보 없음,,,,84.99,85,84.99,방주기픈샘2
11470,11470-4210,84.54,K-apt 면적정보 없음,,,,84.54,85,84.54,세진
11470,11470-4234,83.935,K-apt 면적정보 없음,,,,83.935,84,83.935,삼익4차플라주
11470,11470-4241,84.42,K-apt 면적정보 없음,,,,84.42,84,84.42,세양청마루2차주상복합
11470,11470-4256,84.96,K-apt 면적정보 없음,,,,84.96,85,84.96|84.97|84.98,SM엘루이아파트
11470,11470-4256,84.97,K-apt 면적정보 없음,,,,84.96,85,84.96|84.97|84.98,SM엘루이아파트
11470,11470-4256,84.98,K-apt 면적정보 없음,,,,84.96,85,84.96|84.97|84.98,SM엘루이아파트
11470,11470-4299,84.93,K-apt 면적정보 없음,,,,84.93,85,84.93,우영아파트
11470,11470-43,59.28,K-apt 면적정보 없음,,,,59.28,59,59.28,일신파스텔
11470,11470-4303,71.75,K-apt 면적정보 없음,,,,71.75,72,71.75,ParkPalaceII
11470,11470-4303,74.56,K-apt 면적정보 없음,,,,74.56,75,74.56,ParkPalaceII
11470,11470-4305,59.98,면적 매칭,A15809502,59.98,32,59.98,60,59.98,수명산롯데캐슬
11470,11470-4305,80.28,면적 매칭,A15809502,80.28,1,80.28,80,80.28,수명산롯데캐슬
11470,11470-4305,84.96,면적 매칭,A15809502,84.96,181,84.96,85,84.96,수명산롯데캐슬
11470,11470-4315,59.8,K-apt 면적정보 없음,,,,59.8,60,59.8,장수마을
11470,11470-4315,84.09,K-apt 면적정보 없음,,,,84.09,84,84.09,장수마을
11470,11470-4322,84.71,면적 매칭,A15878601,84.71,7,84.71,85,84.71|84.73|84.78|84.79|84.83|84.91|84.93|84.94|84.95,금하뜨라네
11470,11470-4322,84.73,면적 매칭,A15878601,84.73,6,84.71,85,84.71|84.73|84.78|84.79|84.83|84.91|84.93|84.94|84.95,금하뜨라네
11470,11470-4322,84.78,면적 매칭,A15878601,84.78,14,84.71,85,84.71|84.73|84.78|84.79|84.83|84.91|84.93|84.94|84.95,금하뜨라네
11470,11470-4322,84.79,면적 매칭,A15878601,84.79,7,84.71,85,84.71|84.73|84.78|84.79|84.83|84.91|84.93|84.94|84.95,금하뜨라네
11470,11470-4322,84.83,면적 매칭,A15878601,84.83,33,84.71,85,84.71|84.73|84.78|84.79|84.83|84.91|84.93|84.94|84.95,금하뜨라네
11470,11470-4322,84.93,면적 매칭,A15878601,84.93,14,84.71,85,84.71|84.73|84.78|84.79|84.83|84.91|84.93|84.94|84.95,금하뜨라네
11470,11470-4322,84.95,면적 매칭,A15878601,84.95,54,84.71,85,84.71|84.73|84.78|84.79|84.83|84.91|84.93|84.94|84.95,금하뜨라네
11470,11470-4324,81.88,K-apt 면적정보 없음,,,,81.88,82,81.88,예지팰리스50차
11470,11470-4342,66.75,K-apt 면적정보 없음,,,,66.75,67,66.75,동양부로미(926-4)
11470,11470-4349,112.33,면적 매칭,A15870101,112.33,100,112.33,112,112.33,트라팰리스웨스턴에비뉴
11470,11470-4349,124.95,면적 매칭,A15870101,124.95,100,124.95,125,124.95,트라팰리스웨스턴에비뉴
11470,11470-4349,127.65,면적 매칭,A15870101,127.65,100,127.65,128,127.65,트라팰리스웨스턴에비뉴
11470,11470-4349,146.1,면적 매칭,A15870101,146.1,100,146.1,146,146.1,트라팰리스웨스턴에비뉴
11470,11470-4349,161.36,면적 매칭,A15870101,161.36,38,161.36,161,161.36,트라팰리스웨스턴에비뉴
11470,11470-4349,163.54,면적 매칭,A15870101,163.54,38,163.54,164,163.54,트라팰리스웨스턴에비뉴
11470,11470-4349,177.48,면적 매칭,A15870101,177.48,38,177.48,177,177.48,트라팰리스웨스턴에비뉴
11470,11470-4349,238.47,면적 매칭,A15870101,238.47,4,238.47,238,238.47,트라팰리스웨스턴에비뉴
11470,11470-4350,112.33,면적 매칭,A15870101,112.33,100,112.33,112,112.33,트라팰리스이스턴에비뉴
11470,11470-4350,124.95,면적 매칭,A15870101,124.95,100,124.95,125,124.95,트라팰리스이스턴에비뉴
11470,11470-4350,127.65,면적 매칭,A15870101,127.65,100,127.65,128,127.65,트라팰리스이스턴에비뉴
11470,11470-4350,146.1,면적 매칭,A15870101,146.1,100,146.1,146,146.1,트라팰리스이스턴에비뉴
11470,11470-4350,161.36,면적 매칭,A15870101,161.36,38,161.36,161,161.36,트라팰리스이스턴에비뉴
11470,11470-4350,163.54,면적 매칭,A15870101,163.54,38,163.54,164,163.54,트라팰리스이스턴에비뉴
11470,11470-4350,177.48,면적 매칭,A15870101,177.48,38,177.48,177,177.48,트라팰리스이스턴에비뉴
11470,11470-4378,84.94,면적 매칭,A15882201,84.94,44,84.94,85,84.94,수명산SKVIEW
11470,11470-4378,119.98,면적 매칭,A15882201,119.98,48,119.98,120,119.98,수명산SKVIEW
11470,11470-4378,120.99,면적 매칭,A15882201,120.99,11,120.99,121,120.99,수명산SKVIEW
11470,11470-4378,127.89,면적 매칭,A15882201,127.89,31,127.89,128,127.89|128.76,수명산SKVIEW
11470,11470-4378,128.76,면적 매칭,A15882201,128.76,26,127.89,128,127.89|128.76,수명산SKVIEW
11470,11470-4382,84.83,K-apt 면적정보 없음,,,,84.83,85,84.83|84.95,코아루1단지
11470,11470-4382,84.95,K-apt 면적정보 없음,,,,84.83,85,84.83|84.95,코아루1단지
11470,11470-4388,84.98,K-apt 면적정보 없음,,,,84.98,85,84.98,상진지오벨리
11470,11470-44,59.84,면적 매칭,A15882104,59.84,93,59.84,60,59.84,진도1
11470,11470-44,84.96,면적 매칭,A15882104,84.96,48,84.96,85,84.96,진도1
11470,11470-44,112.56,면적 매칭,A15882104,112.56,12,112.56,113,112.56|112.83|113.24,진도1
11470,11470-44,112.83,면적 매칭,A15882104,112.83,19,112.56,113,112.56|112.83|113.24,진도1
11470,11470-44,113.24,면적 매칭,A15882104,113.24,11,112.56,113,112.56|112.83|113.24,진도1
11470,11470-4405,65.28,K-apt 면적정보 없음,,,,65.28,65,65.28|65.36,엘리시아
11470,11470-4405,65.36,K-apt 면적정보 없음,,,,65.28,65,65.28|65.36,엘리시아
11470,11470-4409,69.12,K-apt 면적정보 없음,,,,69.12,69,69.12,청우
11470,11470-4409,73.63,K-apt 면적정보 없음,,,,73.63,74,73.63,청우
11470,11470-4414,62.39,K-apt 면적정보 없음,,,,62.39,62,62.39,코아루2단지
11470,11470-4414,84.95,K-apt 면적정보 없음,,,,84.95,85,84.95,코아루2단지
11470,11470-4437,57.72,K-apt 면적정보 없음,,,,57.72,58,57.72,누리애
11470,11470-4443,104.62,면적 매칭,A15873902,104.62,87,104.62,105,104.62,중앙하이츠
11470,11470-4443,134.98,면적 매칭,A15873902,134.98,84,134.98,135,134.98,중앙하이츠
11470,11470-4443,144.38,면적 매칭,A15873902,144.38,13,144.38,144,144.38,중앙하이츠
11470,11470-4443,162.36,면적 매칭,A15873902,162.36,57,162.36,162,162.36,중앙하이츠
11470,11470-4472,59.52,K-apt 면적정보 없음,,,,59.52,60,59.52,덕수펠리체(45)
11470,11470-45,59.46,면적 매칭,A15882103,59.46,72,59.46,59,59.46,진도2
11470,11470-45,84.75,면적 매칭,A15882103,84.75,71,84.75,85,84.75,진도2
11470,11470-45,108.69,면적 매칭,A15882103,108.69,36,108.69,109,108.69,진도2
11470,11470-4500,59.88,면적 매칭,A15883202,59.88,46,59.72,60,59.72|59.88,롯데캐슬(1057-0)
11470,11470-4500,70.61,면적 매칭,A15883202,70.61,24,70.61,71,70.61|70.91,롯데캐슬(1057-0)
11470,11470-4500,70.91,면적 매칭,A15883202,70.91,75,70.61,71,70.61|70.91,롯데캐슬(1057-0)
11470,11470-4500,84.94,면적 매칭,A15883202,84.94,52,84.41,85,84.41|84.63|84.94,롯데캐슬(1057-0)
11470,11470-4501,59.72,K-apt 면적정보 없음,,,,59.72,60,59.72,롯데캐슬(1057-1)
11470,11470-4501,84.41,K-apt 면적정보 없음,,,,84.41,84,84.41|84.63,롯데캐슬(1057-1)
11470,11470-4501,84.63,K-apt 면적정보 없음,,,,84.41,84,84.41|84.63,롯데캐슬(1057-1)
11470,11470-4532,84.16,K-apt 면적정보 없음,,,,84.16,84,84.16,성보
11470,11470-4574,114.73,면적 매칭,A15807003,114.73,84,114.73,115,114.73,이펜하우스5단지
11470,11470-4576,84.51,면적 매칭,A15809002,84.51,227,84.51,85,84.51|84.96,이펜하우스2단지
11470,11470-4576,84.96,면적 매칭,A15809002,84.96,36,84.51,85,84.51|84.96,이펜하우스2단지
11470,11470-4576,114.98,면적 매칭,A15809002,114.98,99,114.98,115,114.98,이펜하우스2단지
11470,11470-4594,59.93,면적 매칭,A15870701,59.93,114,59.83,60,59.83|59.9|59.93|59.94,이펜하우스1단지
11470,11470-4594,84.51,면적 매칭,A15870701,84.51,104,84.51,85,84.51|84.86|84.96,이펜하우스1단지
