sgg_cd,apt_seq,apt_nm,road_key,fail_reason
11170,11170-56,장미,이촌로64길 61,K-apt 마스터에 없음
11170,11170-57,점보,이촌로88길 3,K-apt 마스터에 없음
11170,11170-58,정우,이촌로54길 16,K-apt 마스터에 없음
11170,11170-59,제일,이촌로 192,K-apt 마스터에 없음
11170,11170-6,용암한신,신흥로2길 58,K-apt 마스터에 없음
11170,11170-60,시범(중산1차),이촌로2가길 36,K-apt 마스터에 없음
11170,11170-61,중앙하이츠(A),이촌로84길 17,K-apt 마스터에 없음
11170,11170-63,퀸스리버빌,이촌로46길 26,K-apt 마스터에 없음
11170,11170-66,한가람,이촌로65길 8,K-apt 마스터에 없음
11170,11170-7,한신,녹사평대로 245,K-apt 마스터에 없음
11170,11170-73,남산힐레지던스,이태원로27다길 11,K-apt 마스터에 없음
11170,11170-75,용산동아파트,녹사평대로 250-1,K-apt 마스터에 없음
11170,11170-76,주공1,녹사평대로 286,K-apt 마스터에 없음
11170,11170-8,동자,한강대로104마길 30,K-apt 마스터에 없음
11170,11170-82,리버탑,독서당로6길 16,K-apt 마스터에 없음
11170,11170-83,리버티하우스,독서당로 70,K-apt 마스터에 없음
11170,11170-90,성아1,독서당로 73,K-apt 마스터에 없음
11170,11170-93,시범,독서당로34길 22,K-apt 마스터에 없음
11170,11170-95,스카이빌2,이태원로27나길 50,K-apt 마스터에 없음
11200,11200-1,극동미라주,난계로 73,후보 2개 이상(모호)
11200,11200-100,모닝빌아파트,독서당로 155,K-apt 마스터에 없음
11200,11200-102,우성,성수일로11길 9,K-apt 마스터에 없음
11200,11200-12,삼웅아파트2동,마장로46길 18,K-apt 마스터에 없음
11200,11200-134,화이트캐슬,독서당로39길 33,K-apt 마스터에 없음
11200,11200-14,현대,살곶이길 50,K-apt 마스터에 없음
11200,11200-15,장원,마장로35길 104,K-apt 마스터에 없음
11200,11200-151,상기,금호산9가길 52,K-apt 마스터에 없음
11200,11200-152,서울숲해오름(717-0),상원6나길 16,K-apt 마스터에 없음
11200,11200-153,이화101동,성수이로7가길 20,K-apt 마스터에 없음
11200,11200-154,이화102동,성수이로7가길 18,K-apt 마스터에 없음
11200,11200-155,성동리버뷰,동일로43길 21-1,K-apt 마스터에 없음
11200,11200-156,아트리움,마장로39길 36,K-apt 마스터에 없음
11200,11200-16,벽산,살곶이길 176,K-apt 마스터에 없음
11200,11200-17,중앙하이츠,사근동길 65,K-apt 마스터에 없음
11200,11200-18,대림e-편한세상,행당로 79,후보 2개 이상(모호)
11200,11200-1831,동인샤인빌,독서당로 242,K-apt 마스터에 없음
11200,11200-2,금호베스트빌,난계로 114-31,후보 2개 이상(모호)
11200,11200-22,행당한진타운,행당로 82,후보 2개 이상(모호)
11200,11200-24,서울숲 한신 더 휴,고산자로 164,후보 2개 이상(모호)
11200,11200-2562,성동상가,성덕정15길 12,K-apt 마스터에 없음
11200,11200-26,서울숲한성,마조로1길 55,K-apt 마스터에 없음
11200,11200-2674,청계대주파크빌,무학로12길 11,K-apt 마스터에 없음
11200,11200-2675,(1-10),마조로1길 45,K-apt 마스터에 없음
11200,11200-2689,금호1차푸르지오,금호산길 8,K-apt 마스터에 없음
11200,11200-2703,신명스카이뷰,마장로 258,K-apt 마스터에 없음
11200,11200-2722,신금호두산위브,행당로 31,K-apt 마스터에 없음
11200,11200-2728,우성2차,성수이로16길 13,K-apt 마스터에 없음
11200,11200-2729,예건네스빌,한림말1길 10,K-apt 마스터에 없음
11200,11200-2777,드림,왕십리로31길 9-50,K-apt 마스터에 없음
11200,11200-2828,주암해븐,무학로10길 4,K-apt 마스터에 없음
11200,11200-2829,YM프라젠,자동차시장1길 14,K-apt 마스터에 없음
11200,11200-2882,대명루첸,뚝섬로 436,K-apt 마스터에 없음
